country,discipline,event_gender,Predicted_Gold,Predicted_Silver,Predicted_Bronze
Argentina,Hockey,0.0,0.0,0.0,1.0
Argentina,Rugby Sevens,1.0,1.0,0.0,0.0
Argentina,Volleyball,1.0,1.0,0.0,0.0
Armenia,Artistic Gymnastics,1.0,1.0,0.0,0.0
Armenia,Boxing,1.0,1.0,0.0,0.0
Armenia,Weightlifting,1.0,0.0,0.0,1.0
Armenia,Wrestling,1.0,0.0,0.0,1.0
Australia,Athletics,1.0,1.0,0.0,0.0
Australia,Athletics,0.0,1.0,0.0,1.0
Australia,Basketball,1.0,1.0,0.0,0.0
Australia,Beach Volleyball,0.0,0.0,0.0,2.0
Australia,Boxing,1.0,1.0,0.0,0.0
Australia,Canoe Slalom,0.0,1.0,1.0,0.0
Australia,Canoe Sprint,1.0,0.0,2.0,0.0
Australia,Cycling BMX Freestyle,1.0,0.0,1.0,0.0
Australia,Cycling Road,1.0,1.0,0.0,0.0
Australia,Cycling Track,1.0,1.0,0.0,0.0
Australia,Diving,0.0,1.0,0.0,0.0
Australia,Equestrian,,1.0,0.0,1.0
Australia,Hockey,1.0,0.0,0.0,1.0
Australia,Marathon Swimming,0.0,1.0,0.0,0.0
Australia,Rowing,1.0,1.0,1.0,0.0
Australia,Rowing,0.0,1.0,1.0,0.0
Australia,Sailing,1.0,0.0,3.0,0.0
Australia,Skateboarding,1.0,0.0,1.0,0.0
Australia,Surfing,1.0,1.0,0.0,0.0
Australia,Swimming,1.0,3.0,1.0,2.0
Australia,Swimming,2.0,1.0,0.0,0.0
Australia,Swimming,0.0,4.0,8.0,1.0
Australia,Tennis,2.0,2.0,0.0,0.0
Austria,Athletics,1.0,1.0,0.0,0.0
Austria,Cycling Road,0.0,0.0,1.0,0.0
Austria,Judo,1.0,1.0,0.0,0.0
Austria,Judo,0.0,0.0,0.0,1.0
Austria,Karate,0.0,1.0,0.0,0.0
Austria,Rowing,0.0,1.0,0.0,0.0
Austria,Sport Climbing,1.0,1.0,0.0,0.0
Azerbaijan,Boxing,1.0,1.0,0.0,0.0
Azerbaijan,Judo,0.0,1.0,0.0,0.0
Azerbaijan,Karate,1.0,0.0,0.0,1.0
Azerbaijan,Karate,0.0,0.0,0.0,1.0
Azerbaijan,Wrestling,1.0,1.0,0.0,1.0
Azerbaijan,Wrestling,0.0,1.0,0.0,0.0
Bahamas,Athletics,1.0,0.0,1.0,0.0
Bahamas,Athletics,0.0,0.0,1.0,0.0
Bahrain,Athletics,0.0,0.0,0.0,1.0
Belarus,Athletics,1.0,1.0,0.0,0.0
Belarus,Canoe Sprint,0.0,0.0,0.0,1.0
Belarus,Rhythmic Gymnastics,0.0,1.0,0.0,0.0
